StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
      110,      00,   195001,   3.36,  30.43,    .54,   -.67,   1.63,    .35,     23,    786,   1.85,   1.14,   -.07,    .03,    .32,    .16,    .66,  19.56,  41.32
      110,      00,   195002,   2.23,  35.55,     .7,     .7,    .63,     .7,     11,    731,    .29,   1.68,   1.18,    .21,    .34,    .07,    .58,  24.01,   47.1
      110,      00,   195003,   2.49,  38.84,    .81,    .81,    .55,    .81,     12,    710,    .04,    .22,   1.35,    .42,    .23,    .09,    .42,  27.16,  50.52
      110,      00,   195004,   2.08,  48.65,    .64,    .64,   -.27,    .64,     21,    428,  -1.02,   -.58,   -.31,   -.24,   -.13,    .13,     .3,  36.12,  61.18
      110,      00,   195005,   2.88,  59.45,    .67,    .67,     .3,    .67,    106,    177,   -.04,   -.64,   -.48,    .39,   -.09,    .06,    .29,  46.63,  72.27
      110,      00,   195006,    2.8,  67.93,    .62,    .62,    .05,    .62,    197,     46,   -.37,   -.28,   -.67,    .36,   -.07,   -.13,    .18,   54.7,  81.16
      110,      00,   195007,   3.86,  71.22,   1.93,   1.93,   4.14,   1.93,    263,     14,   3.06,   1.46,    .94,    .31,    .16,    .19,    .39,   58.8,  83.62
      110,      00,   195008,   2.55,  70.02,   2.34,   2.34,   1.82,   2.34,    238,     24,   -.16,   1.99,   1.11,    .16,    .74,    .23,    .49,   56.5,  83.53
      110,      00,   195009,   2.69,   63.5,   2.57,   2.57,    1.4,   2.57,    125,     96,    .46,    .23,   1.58,    .39,   1.05,    .45,    .75,  51.48,  75.52
      110,      00,   195010,    1.9,  57.47,   1.89,   1.89,  -1.24,    1.3,     72,    214,   -.51,   -.14,   -.22,    .45,    .12,    .06,    .88,   44.2,  70.72
      110,      00,   195011,    2.1,  40.64,   1.77,   1.77,    .22,   1.22,      9,    594,    -.2,   -.48,   -.21,    .35,   -.02,    .47,    .49,  28.62,  52.65
      110,      00,   195012,   1.93,  33.01,   1.46,   1.46,   -.39,    .71,      3,    892,   -.79,   -.63,   -.77,    .17,    -.2,    .34,    .36,  22.28,  43.75
      110,      00,   195101,   2.34,   30.2,   1.47,   1.47,    .49,    .88,      6,    890,    .16,   -.45,   -.45,   -.46,    .07,   -.12,    .13,  19.26,  41.14
      110,      00,   195102,   2.27,  34.54,   1.61,   1.61,    .88,    1.3,      5,    743,    .37,    .34,   -.23,   -.31,    .15,   -.13,    .09,     23,  46.08
      110,      00,   195103,    2.6,  38.55,   1.77,   1.77,    .96,   1.77,     14,    654,    .26,    .43,    .41,   -.37,    .32,   -.06,     .1,  27.03,  50.09
      110,      00,   195104,   2.35,  49.73,   1.63,   1.63,    .14,   1.63,     22,    378,   -.36,   -.02,    .19,   -.23,   -.33,     .1,    .17,   37.4,  62.06
      110,      00,   195105,   2.37,  60.76,    .92,    .92,  -1.64,    .01,     95,    150,  -1.15,  -1.02,   -.62,   -.62,   -.58,   -.15,   -.03,  47.53,  74.01
      110,      00,   195106,   3.44,  66.65,   1.54,   1.54,   2.16,   1.54,    194,     52,   1.14,    -.1,   -.25,    .01,   -.45,    .12,    .04,  53.96,  79.32
      110,      00,   195107,   2.85,  73.69,   1.65,   1.65,     .8,   1.65,    314,      9,    .14,    .82,   -.06,   -.02,   -.28,   -.33,   -.04,  60.46,   86.9
      110,      00,   195108,   2.61,  71.89,   1.63,   1.63,    .43,   1.63,    287,     22,      0,    .01,    .66,   -.16,   -.25,   -.31,      0,  58.89,  84.87
      110,      00,   195109,   2.57,  64.09,   1.65,   1.65,    .58,   1.65,    155,     84,    .19,    .13,    .17,   -.12,    .07,   -.36,    .08,  50.76,  77.43
      110,      00,   195110,    2.3,     54,   1.68,   1.68,    .59,   1.68,     59,    252,    .18,    .21,    .15,    .06,    .05,   -.17,   -.06,  41.97,     66
      110,      00,   195111,   2.43,  38.08,   1.96,   1.96,   1.37,   1.96,      7,    672,    .35,    .35,    .35,    .57,    .07,   -.04,    .31,  27.21,  48.96
      110,      00,   195112,   3.12,  31.23,    2.7,    2.7,   2.83,    2.7,     10,    838,   1.36,   1.08,    .91,    .75,    .43,    .52,    .62,  21.07,  41.38
      110,      00,   195201,   2.44,     32,    3.2,    3.2,   2.33,    3.2,     14,    830,    .35,   1.12,   1.03,     .8,    .63,    .54,    .36,   21.7,  42.28
      110,      00,   195202,      2,  35.46,   2.86,   2.86,   -.03,   2.79,      7,    698,   -.23,    .09,    .92,    .78,    .92,    .41,    .29,  24.67,  46.22
      110,      00,   195203,   2.93,  37.69,   3.29,   3.29,   2.18,   3.29,     14,    693,    .91,    .51,    .59,   1.02,    .88,    .57,    .38,  27.14,  48.24
      110,      00,   195204,    2.4,  51.66,   -.13,   2.83,   -.39,   2.61,     19,    338,   -.25,    .49,    .31,    .93,     .8,    .63,    .46,  38.79,  64.53
      110,      00,   195205,   2.69,  60.58,   -.34,   2.31,   -.67,   1.77,     96,    168,   -.44,   -.45,    .12,    .62,    .65,    .76,    .38,  47.46,  73.71
      110,      00,   195206,    2.2,  70.75,  -1.19,   1.19,  -2.64,   -.43,    270,     39,  -1.59,   -1.3,  -1.16,    -.5,    .16,    .18,    .23,  57.45,  84.04
      110,      00,   195207,   2.39,   74.1,  -1.84,  -1.84,  -2.32,  -1.84,    355,      6,  -1.13,  -1.65,  -1.43,   -.85,   -.11,   -.04,   -.19,  60.35,  87.85
      110,      00,   195208,   2.62,  72.82,  -2.02,  -2.02,  -1.13,  -2.02,    294,     15,    .03,   -.79,  -1.44,   -.83,   -.23,   -.03,   -.17,  59.49,  86.16
