buoy_day_ID,buoy,day,latitude,longitude,zon_winds,mer_winds,humidity,airtemp,s_s_temp
1,1,1,8.96,-140.32,-6.3,-6.4,83.5,27.32,27.57
2,1,2,8.95,-140.32,-5.7,-3.6,86.4,26.7,27.62
3,1,3,8.96,-140.32,-6.2,-5.8,83,27.36,27.68
4,1,4,8.96,-140.34,-6.4,-5.3,82.2,27.32,27.7
5,1,5,8.96,-140.33,-4.9,-6.2,87.3,27.09,27.85
6,1,6,8.96,-140.33,-6.3,-4.9,91.5,26.82,27.98
7,1,7,8.97,-140.32,-6.7,-3.7,94.1,26.62,28.04
8,1,8,8.96,-140.33,-6.3,-4.8,92,26.89,27.98
9,1,9,8.97,-140.33,-6.3,-4.9,86.9,27.44,28.13
10,1,10,8.97,-140.32,-4.2,-2.5,87.3,26.62,28.14
11,1,11,8.96,-140.32,-6.8,-2.4,86,27.6,28.09
